iter	Passed	Remaining
440	1381	1751
441	1382	1745
442	1385	1742
443	1387	1737
444	1390	1734
445	1392	1730
446	1395	1726
447	1399	1723
448	1400	1718
449	1402	1714
450	1404	1709
451	1405	1704
452	1407	1699
453	1409	1695
454	1411	1690
455	1412	1685
456	1416	1682
457	1419	1679
458	1422	1676
459	1424	1672
460	1427	1668
461	1430	1666
462	1434	1663
463	1436	1658
464	1437	1654
465	1440	1650
466	1442	1646
467	1445	1642
468	1446	1638
469	1448	1633
470	1450	1628
471	1452	1624
472	1454	1620
473	1455	1615
474	1456	1610
475	1458	1605
476	1460	1601
477	1462	1596
478	1464	1592
479	1466	1588
480	1468	1584
481	1475	1585
482	1478	1582
483	1481	1578
484	1485	1577
485	1487	1572
486	1489	1568
487	1491	1564
488	1492	1560
489	1495	1556
490	1497	1552
491	1499	1548
492	1501	1543
493	1502	1539
494	1504	1534
495	1505	1530
496	1507	1525
497	1509	1521
498	1511	1517
499	1512	1512
500	1515	1509
501	1518	1505
502	1520	1502
503	1522	1498
504	1523	1493
505	1526	1489
506	1527	1485
507	1528	1480
508	1531	1476
509	1533	1473
510	1535	1469
511	1537	1465
512	1539	1461
513	1540	1456
514	1542	1452
515	1544	1448
516	1547	1445
517	1550	1442
518	1551	1438
519	1553	1433
520	1554	1429
521	1556	1425
522	1558	1421
523	1559	1417
524	1562	1414
525	1564	1410
526	1566	1405
527	1568	1401
528	1570	1397
529	1571	1393
530	1573	1389
531	1575	1386
532	1577	1382
533	1579	1378
534	1581	1374
535	1582	1370
536	1584	1366
537	1586	1361
538	1589	1359
539	1591	1355
540	1594	1352
541	1596	1349
542	1599	1345
543	1601	1342
544	1603	1339
545	1606	1335
546	1608	1331
547	1609	1327
548	1611	1323
549	1613	1319
550	1615	1316
551	1616	1312
552	1619	1308
553	1621	1305
554	1623	1301
555	1624	1297
556	1626	1293
557	1628	1289
558	1629	1285
559	1631	1281
560	1632	1277
561	1634	1273
562	1636	1270
563	1638	1266
564	1639	1262
565	1642	1259
566	1644	1255
567	1645	1251
568	1647	1248
569	1650	1245
570	1652	1241
571	1654	1238
572	1656	1234
573	1659	1231
574	1662	1228
575	1664	1225
576	1667	1222
577	1669	1218
578	1670	1214
579	1672	1210
580	1673	1207
581	1675	1203
582	1676	1199
583	1678	1195
584	1680	1192
585	1682	1188
586	1683	1184
587	1685	1181
588	1687	1177
589	1689	1173
590	1692	1170
591	1694	1167
592	1696	1164
593	1698	1161
594	1700	1157
595	1702	1154
596	1704	1150
597	1706	1146
598	1707	1143
599	1710	1140
600	1713	1137
601	1716	1134
602	1718	1131
603	1720	1127
604	1725	1126
605	1728	1123
606	1730	1120
607	1731	1116
608	1732	1112
609	1735	1109
610	1737	1105
611	1738	1102
612	1741	1099
613	1743	1096
614	1744	1092
615	1746	1088
616	1748	1085
617	1749	1081
618	1751	1077
619	1752	1074
620	1754	1070
621	1756	1067
622	1757	1063
623	1759	1060
624	1761	1056
625	1762	1053
626	1764	1049
627	1768	1047
628	1772	1045
629	1774	1042
630	1776	1039
631	1780	1036
632	1785	1034
633	1788	1032
634	1790	1029
635	1792	1025
636	1794	1022
637	1795	1018
638	1798	1015
639	1799	1012
640	1801	1008
641	1803	1005
642	1805	1002
643	1806	998
644	1807	995
645	1810	992
646	1812	988
647	1814	985
648	1816	982
649	1818	979
650	1819	975
651	1821	972
652	1823	968
653	1824	965
654	1825	961
655	1828	958
656	1830	955
657	1832	952
658	1834	949
659	1836	946
660	1839	943
661	1840	939
662	1842	936
663	1846	934
664	1847	930
665	1848	927
666	1849	923
667	1853	921
668	1855	917
669	1856	914
670	1859	911
671	1860	908
672	1862	904
673	1864	901
674	1866	898
675	1868	895
676	1869	892
677	1872	889
678	1874	886
679	1876	882
680	1877	879
681	1879	876
682	1880	872
683	1881	869
684	1883	866
685	1885	862
686	1886	859
687	1888	856
688	1890	853
689	1891	849
690	1893	846
691	1895	843
692	1897	840
693	1899	837
694	1902	834
695	1903	831
696	1904	828
697	1906	824
698	1907	821
699	1909	818
700	1910	814
701	1912	811
702	1914	808
703	1915	805
704	1917	802
705	1918	799
706	1920	796
707	1922	792
708	1923	789
709	1925	786
710	1926	783
711	1928	780
712	1929	776
713	1932	774
714	1934	771
715	1936	767
716	1937	764
717	1939	761
718	1940	758
719	1942	755
720	1944	752
721	1946	749
722	1948	746
723	1950	743
724	1952	740
725	1954	737
726	1955	734
727	1957	731
728	1958	728
729	1961	725
730	1962	722
731	1964	719
732	1966	716
733	1968	713
734	1969	710
735	1970	706
736	1971	703
737	1973	700
738	1976	698
739	1978	695
740	1981	692
741	1982	689
742	1984	686
743	1985	683
744	1988	680
745	1989	677
746	1992	674
747	1994	671
748	1995	668
749	1996	665
750	1997	662
751	1999	659
752	2000	656
753	2002	653
754	2003	650
755	2008	648
756	2011	645
757	2012	642
758	2014	639
759	2016	636
760	2021	634
761	2024	632
762	2025	629
763	2027	626
764	2029	623
765	2032	620
766	2035	618
767	2037	615
768	2038	612
769	2040	609
770	2041	606
771	2042	603
772	2044	600
773	2045	597
774	2047	594
775	2049	591
776	2050	588
777	2053	585
778	2054	582
779	2055	579
780	2057	576
781	2062	575
782	2074	574
783	2078	572
784	2080	569
785	2083	567
786	2085	564
787	2088	561
788	2090	559
789	2093	556
790	2096	553
791	2098	551
792	2099	548
793	2101	545
794	2103	542
795	2106	539
796	2108	537
797	2110	534
798	2112	531
799	2113	528
800	2116	525
801	2118	522
802	2119	520
803	2125	518
804	2127	515
805	2129	512
806	2132	510
807	2135	507
808	2137	504
809	2141	502
810	2143	499
811	2145	496
812	2147	493
813	2148	491
814	2150	488
815	2152	485
816	2154	482
817	2156	479
818	2158	476
819	2162	474
820	2164	471
821	2167	469
822	2169	466
823	2171	463
824	2172	460
825	2174	457
826	2175	455
827	2177	452
828	2180	449
829	2187	447
830	2189	445
831	2191	442
832	2193	439
833	2197	437
834	2199	434
835	2202	432
836	2203	429
837	2205	426
838	2208	423
839	2210	421
840	2212	418
